id,customer_area_id,name,deleted
762,1686,"Nvo. CAMP Modulo J, K",0
763,1686,"Área de Almacenamiento de Agua Potable",0
764,1686,"Área de Tratamiento de desagüe",0
765,1686,"  Nvo. CAMP Modulo M y C    ",0
766,1686,"Nvo. CAMP Área de cocina  ",0
767,1686,"Garita de Control",0
768,1686,"Nvo. CAMP Edificio principal",0
769,1686,"Nvo. CAMP Modulo S, T",0
770,1686,"Nvo. CAMP Modulo U, V, W",0
771,1686,"Nvo. CAMP Modulo, Y, Z",0
772,1686,"Nvo. CAMP Modulo SA, SB",0
773,1686,"Nvo. CAMP Modulo SC, SD",0
774,1686,"Nvo. CAMP Modulo WG",0
775,1686,"Dust Control Nueva",0
776,1686,"Polishing Pond",0
777,1686,"PLATAFORMA VOLADURA",0
778,1686,"Nvo. CAMP Modulo WA, WB",0
779,1686,"Nvo. CAMP Modulo WD, WC, WE, WF",0
780,1686,"Nvo. CAMP Modulo WH",0
781,1686,"Nvo. CAMP Modulo SF, SG,SH,SI",0
782,1686,"Ant. CAMP - Aguas Residuales",0
783,1762,"SE PAVANA III",0
784,1789,"SE Paramonga Nueva",0
785,1917,"SE Orcotuna",0
786,1678,"S.E. LA NINA",1
787,1824,Azángaro,0
788,1899,"SE PUNO",0
789,1678,Tintaya,1
790,1678,Ayaviri,1
791,1913,"SE INDEPENDENCIA",0
792,1678,Huayucachi,1
793,1838,Huayacachi,0
794,1915,"S.E. MARCONA",0
795,1914,POROMA,0
796,1678,POEOMA,1
797,1847,"S.E. SAN NICOLAS",0
798,1678,1975,1
799,1764,MAITENES,0
800,1765,"SE PRINCIPAL",0
801,1528,G162,0
802,1528,G163,0
803,1528,G164,0
804,1528,G565,0
805,1528,G566,0
806,1606,PRINCIPAL,0
807,1768,-,0
808,1770,"MOLINOS SAG",0
809,1771,"MOLINOS SAG",0
810,1715,"Sección 73",0
811,1725,"PISCO SUR",0
812,1725," Callao",0
813,1725,Samanco,0
814,1725,Matarani,0
815,1687,"CH PATON",0
816,1687,-,0
817,1687,UCHUCHAHUA,0
818,1687,"SET 128",0
819,1687,"SET 129",0
820,1687,"SET 126",0
821,1687,"SET 169",0
822,1687,"NIVEL 3850",0
823,1687,CHANCADO,0
824,1687,FLOTACION,0
825,1687,FILTRADO,0
826,1687,FUNDICION,0
827,1687,ALMACEN,0
828,1687,FASE3,0
829,1687,"FASE 3",0
830,1687,RELAVERA,0
831,1687,"POZA DE CONTACTO 2",0
832,1687,"LAVADERO DE LLANTAS",0
833,1687,"NV. 4840",0
834,1710,"SET CHOSICA",0
835,1687,PTAR,0
836,1687,"FASE 1",0
837,1687,CONCENTRADO,0
838,1687,"FASE 2",0
839,1687,"FASE 02",0
840,1687,RELAVE,0
841,1687,MOLIENDA,0
842,1687,CCD,0
843,1687,CROW,0
844,1687,"Nv. 4740",0
845,1687,"Nv. 4640",0
846,1687,CIANURACIÓN,0
847,1687,"Nv. 4340",0
848,1687,RP,0
849,1687,BOCAMINA,0
850,1687,"Nv.. 4540",0
851,1687,"Nv. 4465",0
852,1687,"SE Huancarama",0
853,1687,"SE Chipmo",0
854,1716,ETEN,0
855,1845,"SE CAMPAS",0
856,1776,"Santiago de Chile",0
857,1778,"CAJAMARCA NORTE",0
858,1715,"SECC 81",0
859,1766,Uchuchacua,0
860,1766,"CERRO CORONA",0
861,1766,"SE TANTAHUATAY",0
862,1766,"SE LA ZANJA",0
863,1766,"RIO SECO",0
864,1766,TAMBOMAYO,0
865,1706,Cusco,0
866,1781,"SE VENTORRILLO",0
867,1782,"CASA DE MAQUINAS - FORTUNA",0
868,1784,"SUBESTACION PANASA",0
869,1729,"MOTOR HORNO 2",0
870,1729,"CHANCADORA SECUNDARIA KRUPP",0
871,1729,"SERVICIOS AUXILIARES PEING FEI",0
872,1729,"YURA 0",0
873,1729,"MOLINOS PENG FEI",0
874,1729,"BOMBA DE RIO",0
875,1729,"BOMBA INTERMEDIA",0
876,1729,"PATIO PRINCIPAL",0
877,1729,"MOTORES HORNO 1",0
878,1729,"PLATAFORMA BALANZA",0
879,1729,"CHANCADORA SECUNDARIA O & K",0
880,1942,REQUE,0
881,1793,CHIMBOTE,0
882,1678,"SE LA NIÑA",1
883,1944,"SE LA BREA",0
884,1946,"SE PARIÑAS",0
885,1924,"SE TALARA",0
886,1725,PUCUSANA,0
887,1678,"NUEVO CHIMBOTE",1
888,1785,PAPUJUNE,0
889,1720,"SE 03",0
890,1720,"SE 04",0
891,1678,"Trujillo Norte",1
892,1678,SE-HUALLANCA,1
893,1945,"SE HUALLANCA",0
894,1678,"Paramonga Nueva",1
895,1793,"Chimbote 1",0
896,1794,Piura,0
897,1787,"TRUJILLO NORTE",0
898,1788,"CHICLAYO OESTE",0
899,1789,PARAMONGA,0
900,1790,CARAPONGO,0
901,1791,"SE EL BOTE",0
902,1792,"SE VEGALARGA",0
903,1795,"MINE SUBSTATION",0
904,1678,CHIMBOTE,1
905,1799,GUADALUPE,0
906,1797,PRINCIPAL,0
907,1800,PRINCIPAL,0
908,1803,"ARICOTA 1",0
909,1803,"ARICOTA 2",0
910,1803,SARITA,0
911,1804,PRINCIPAL,0
912,1805,PRINCIPAL,0
913,1910,"SE CAHUACHI",0
914,1715,"Sección 91",0
915,1715,"Sec. 90",0
916,1715,"Patio de Llave Principal",0
917,1715,"F y M",0
918,1715,"SE 80",0
919,1715,"SEC 70",0
920,1715,SE75,0
921,1809,Arequipa,0
922,1808,-,0
923,1811,"SE INGENIO",0
924,1810,"SE CAUDALOSA",0
925,1812,"SE LOMERA",0
926,1813,YUMPAG,0
927,1715,"Sección 75",0
928,1715,"SE 20",0
929,1815,"SANTA CRUZ I",0
930,1817,G1048,0
931,1818,"ELECTRO 75",0
932,1710,"CHOSICA TRF2 ",0
933,1710,"S.E. PEDREGAL",0
934,1710,"Santa Teresa",0
935,1710,"SUB ESTACION SAN LUIS",0
936,1710,"SET Tres Hermanas",0
937,1819,INDEPENDENCIA,0
938,1821,PRINCIPAL,0
939,1678,"CHIMBOTE 1",1
940,1714,"NIV 1940 INTERIOR MINA",0
941,1714,"PLANTA DESALINIZADORA (5° TREN)",0
942,1714,"FILTRADO DE RELAVE 2",0
943,1714,"BOCAMINA NIVEL 1970",0
944,1714,"SE CERRO LINDO",0
945,1714,"BOCAMINA PAHUAYPITE",0
946,1678,PARAMONGA,1
947,1725,"Planta CHD",0
948,1761,"PLANTA ELECTRICA TS1",0
949,1761,"PLANTA ELECTRICA T20",0
950,1761,"PLANTA ELECTRICA-TRAN.ACOPLE",0
951,1761,"PLANTA ELECTRICA T10",0
952,1761,"PLANTA ELECTRICA TS2",0
953,1761,"PLANTA ELECTRICA T30AYR",0
954,1761,"PLANTA MAYA TRANSFORMADOR #1",0
955,1761,"PLANTA MAGA T.MT #4",0
956,1761,"PLANTA MAYA T.MT #2(MY331)",0
957,1761,"PLANTA MAYA T. MONTADO ET5",0
958,1761,"PLANTA EL RONCO. T. UTILIDADES",0
959,1761,"TRITURACION EL RONCO",0
960,1761,"MOLINO CEMENTO 5",0
961,1761,"VENTILADOR FILTRO ELECTROSTATICO",0
962,1761,"PLANTA RONCO VTF",0
963,1761,"CCM HORNO 5",0
964,1761,"PRINCIPAL LINEA 5",0
965,1761,"VIA SECA",0
966,1761,VH-2,0
967,1761,"VIA HUMEDA #4",0
968,1761,"CCM MOLINO DE CRUDO",0
969,1761,"PLANTA EL BRONCO T.UTILIDADES",0
970,1761,"PLANTA RONCO. T . CCM MOL.",0
971,1761,"PLANTA EL RONCO-T.ACCIONAMIENTO",0
972,1761,N3,0
973,1761,N1,0
974,1761,"ACCIONAMIENTO PRINCIPAL MOLINO PETCOKE",0
975,1761,"VE1 TRANSFORMADOR DE VARIADOR DE FRECUENCIA NUEVO",0
976,1761,"TRANSFORMADOR PRINCIPAL 2",0
977,1826,"SE PARQUE DEL CAFE",0
978,1827,"SE LOS PINOS",0
979,1828,"SE QUIMBAYA",0
980,1826,"SE LA TEBAIDA",0
981,1829,"SE MONTENEGRO",0
982,1830,"SE CALARCA",0
983,1831,"SE EL CAIMO",0
984,1831,"SE SUR",0
985,1831,"SE PUERTO ESPEJO",0
986,1831,"SE PARAGUAYCITO",0
987,1831,"SE CABAÑA",0
988,1831,"SE ARMENIA",0
989,1831,"SE LA PATRIA",0
990,1816,"SANTA CRUZ II",0
991,1715,"SECCION 20",0
992,1697,Ranichico,0
993,1833,PEDREGAL,0
994,1832,"SAN CAMILO",0
995,1760,CHST-CAMPAMENTO,0
996,1760,L.H.S.T.,0
997,1760,C.H.S.T.,0
998,1760,C.H.S.T,0
999,1686,"SE PRINCIPAL ANTAMINA",0
1000,1839,ORCOPAMPA,0
1001,1840,MOLLEPATA,0
1002,1841,"SE ROZO",0
1003,1842,"SE PLANTA NUTRIEN COUVA",0
1004,1678,CHIMBOTE,1
1005,1678,"SE CHIMBOTE 1",1
1006,1918,"SE PLANICIE",0
1007,1678,"SE CARAPONGO",1
1008,1678,"SE TINTAYA",1
1009,1678,"SE PUNO",1
1010,1678,"SE JULIACA",1
1011,1845,CAMPAS,1
1012,1846,"SE BRASIL",0
1013,1714,"SE N 41 Bocamina nivel 1940",0
1014,1714,"SE 32 Bocamina nivel 1970",0
1015,1714,"SE 18 Bocamina nivel 1680",0
1016,1714,"SE 37 Bocamina nivel 1680",0
1017,1714,"SE 42 Bocamina nivel 1710",0
1018,1714,"SE 45 Bocamina nivel 1710",0
1019,1714,"SE 55 Bocamina nivel 1940",0
1020,1714,"SE 27 Bocamina nivel 1970",0
1021,1714,"SE 15 Bocamina nivel 1680",0
1022,1714,"SE 40",0
1023,1714,"SE 50 Bocamina nivel 1940",0
1024,1714,-,0
1025,1714,"SE 28 Bocamina nivel 1970",0
1026,1714,"SE 47 Bocamina nivel 1850",0
1027,1714,"SE 40 Bocamina nivel 1940",0
1028,1714,"SE 06 Bocamina nivel 1880",0
1029,1714,"SE 07 Bocamina nivel 1800",0
1030,1714,"SE 59 Bocamina nivel 1880",0
1031,1714,"SE 49 Bocamina nivel 1910",0
1032,1714,"SE 48 Bocamina nivel 1850",0
1033,1714,"SE 01 Bocamina nivel 1820",0
1034,1714,"SE 09 Bocamina nivel 1740",0
1035,1714,"SE 29 Bocamina nivel 1770",0
1036,1714,"SE 57 Bocamina nivel 1800",0
1037,1714,"SE 52 Bocamina nivel 1600",0
1038,1714,"SE 44 Bocamina nivel 1640 ",0
1039,1714,"SE 51 Bocamina nivel 1650",0
