id,customer_location_id,name,deleted
1111,439,"Procesos B",0
1112,439,"Nueva Sur",0
1113,439,"Sub Estación Auxilar 4",0
1114,439,"Planta de Ventas",0
1115,439,Efluentes,0
1116,439,"Sub Estación Auxiliar 1",0
1117,439,Asfalto,0
1118,439,"Facilidades MTP",0
1119,439,"Sub Estación Cubetos Sur",0
1120,440,TRANSFORMERS,0
1121,439,"Pozo 2",0
1122,439,Contratistas,0
1123,439,"Pozo 1",0
1124,439,Amarradero,0
1125,443,Transformadores,0
1126,445,"C.H. POECHOS 1 - SINERSA",0
1127,446,"C.H. CHANCAY - SINERSA",0
1128,441,"SDE PIURA S.A.C",0
1129,442,1C,0
1130,442,"S.E. MARCONA",0
1131,442,CD2,0
1132,442,2C,0
1133,442,8B,0
1134,442,CD1,0
1135,442,1E,0
1136,442,1A,0
1137,442,1B,0
1138,442,2B,0
1139,444,"C.H. CURUMUY - SINERSA",0
1140,447,Transformadores,0
1141,448,"ELECTROANDES - Excelsior",0
1142,449,"ELECTROANDES - San Mateo",0
1143,450,"ELECTROANDES - San Cristóbal",0
1144,451,"ELECTROANDES - San Antonio",0
1145,452,"ELECTROANDES - Chumpe",0
1146,453,"ELECTROANDES - San Juan",0
1147,454,"ELECTROANDES - Oroya",0
1148,455,"ELECTROANDES - Huicra",0
1149,456,"ELECTROANDES - Casapalca",0
1150,457,"ELECTROANDES - Mahr Tunel",0
1151,458,"ELECTROANDES - Morococha",0
1152,459,"ELECTROANDES - Bellavista",0
1153,460,"ELECTROANDES - Carhuamayo",0
1154,461,"ELECTROANDES - Antuquito",0
1155,462,Transformadores,0
1156,463,"ELECTROANDES - Andaychagua",0
1157,464,Transformers,0
1158,465,Transformers,0
1159,466,Transformers,0
1160,467,Transformers,0
1161,468,Transformers,0
1162,469,Transformers,0
1163,470,"SE LAMBRAMANI- SEAL",0
1164,471,Transformers,0
1165,472,"SE Porongoche - SEAL",0
1166,473,Transformers,0
1167,474,"SE Alto Cayma - SEAL",0
1168,475,Transformers,0
1169,476,Transformadores,0
1170,477,Transformers,0
1171,478,Transformers,0
1172,479,Transformers,0
1173,480,"SE Tiabaya - SEAL",0
1174,481,Transformers,0
1175,482,Transformers,0
1176,483,Transformers,0
1177,484,"SE Chuquibamba - SEAL",0
1178,485,Transformers,0
1179,486,"SE Caraveli - SEAL",0
1180,487,Transformers,0
1181,488,Transformers,0
1182,489,Transformers,0
1183,490,"SE Real Plaza - SEAL",0
1184,491,Transformers,0
1185,492,"SE Cocachacra - SEAL",0
1186,493,"SE Ocoña - SEAL",0
1187,494,Transformers,0
1188,495,"SE Jahuay - SEAL",0
1189,496,PPTR,0
1190,497,Transformers,0
1191,497,Transformadores,0
1192,497,"SE PRINCIPAL",0
1193,497,"Sala 5",0
1194,497,Molienda,0
1195,497,"Chancado Secundario",0
1196,497,"Chancado Primario",0
1197,497,Relaves,0
1198,497,Flotación,0
1199,497,Almacenes,0
1200,497,"SOCIEDAD MINERA CERRO VERDE",0
1201,497,"PRIMARY CYCLONE",0
1202,497,"S.E. Eléctrica SALA 6 MC 61",0
1203,497,"Planta Ciclones",0
1204,497,"Planta Antigua",0
1205,497,Remolienda,0
1206,497,Molinos,0
1207,497,"Trafos Finland",0
1208,497,"HPGR Linea 1",0
1209,497,"Sala 11 - Auxiliares",0
1210,497,"Sala 65 - Auxiliares",0
1211,497,Secundario,0
1212,497,"HPGR Linea 2",0
1213,497,"Espesamiento y filtrado",0
1214,498,Transformadores,0
1215,499,Transformer,0
1216,499,"SE CONCENTRADORA",0
1217,499,"SE LAVADO - CHANCADO 2 Y 3",0
1218,499,"SE MINA",0
1219,500,Transformadores,0
1220,500,"Chancado Primario",0
1221,500,TP15,0
1222,500,"SE VW 02",0
1223,500,TW2A,0
1224,500,"SE VW 04",0
1225,500,"SE Taller Eléctrico Principal",0
1226,500,TW3,0
1227,500,"SE VW 03",0
1228,500,"SE Movil N° 06",0
1229,500,"Sala de Filtros",0
1230,500,TP12,0
1231,500,TP5,0
1232,500,TW6,0
1233,500,TP11,0
1234,500,"SE Viscachas",0
1235,500,"SE Movil N° 08",0
1236,500,"Sala eléctrica Barcaza",0
1237,500,TP14,0
1238,500,"SE TP3A",0
1239,500,"Trafo Hooper C",0
1240,500,"Planta Molibdeno",0
1241,500,"SE VW 01",0
1242,500,"SE Movil N° 07",0
1243,500,"SE Movil N° 12",0
1244,500,"SE Movil N° 13",0
1245,500,"SE Movil N° 10",0
1246,500,"SE Movil N° 11",0
1247,500,"SE Chuntakala",0
1248,500,"SE Locomotoras",0
1249,500,"SE Soldadura y Maestranza",0
1250,500,"Planta Chancado SEC T-14B",0
1251,500,"Drives House",0
