id,name,code,deleted
234,DIESSA,diessa,0
235,REINHOUSEN MANUFACTURING,reinhousen_manufacturing,0
236,TRANSOL-GEP,transol_gep,0
237,CELDUC,celduc,0
238,OEL,oel,0
239,RAYCHEM,raychem,0
240,BALTEAU,balteau,0
241,TAMINI-ABB,tamini_abb,0
242,SHENDA,shenda,0
243,EQUIPAMIENTOS ELECTRICOS,equipamientos_electricos,0
244,FREWALT,frewalt,0
245,SCHNEIDER,schneider,0
246,SHANGHAI,shanghai,0
247,MR REINHAUSEN RMV-II,mr_reinhausen_rmv_ii,0
248,REINHAUSEN MFG-MR,reinhausen_mfg_mr,1
249,SBG,sbg,0
250,IMMELS,immels,0
251,AVR,avr,0
